kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Cengkareng,Cengkareng Barat,"007, 008, 009, 010, 011, 012, 014, 015, 016",9,37,0,0, 10 - 70,"9, 10, 11, 12",4,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Cengkareng Timur,"003, 004, 005, 011, 012, 013, 014, 016, 017",9,65,2728,8194,10 - 100,"9, 10",2,0,0,0,0,330,5,0
Jakarta Barat,Cengkareng,Duri Kosambi,"002, 004, 005, 006, 007, 008, 013, 014",8,37,2244,6111,50 - 150,"9, 10, 11, 12",4,0,0,0,0,616,4,0
Jakarta Barat,Cengkareng,Kapuk,"001, 002, 003, 004, 005, 006, 007, 008, 009, 011,012, 013, 015, 016",14,114,10637,41924,20 - 100,"2, 9, 10, 11, 12, 13, 14",7,0,0,0,0,2587,18,0
Jakarta Barat,Cengkareng,Kedaung Kali Angke,"001, 002, 003, 004, 005, 006, 007, 008",8,38,892,2583,10 - 100 ,"9, 10, 11, 12",4,0,0,0,0,2583,18,0
Jakarta Barat,Cengkareng,Rawa Buaya,"001, 002, 004, 011",4,22,178,687,10 - 100 ,"9, 10, 11, 12",4,0,0,0,0,158,3,0
Jakarta Barat,Kali Deres,Tegal Alur,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011,012, 013, 014, 015, 016",16,63,327,902,20 - 110 ,"9, 10, 11, 12, 13, 14",6,0,0,0,0,902,22,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,"002, 004, 007, 008",4,10,0,100,0 - 100 ,"9, 10, 11, 12",4,0,0,0,0,100,1,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,"002, 005",2,8,1550,5216,0 - 40 ,"9, 10, 11, 12",4,0,0,0,0,5216,2,0
Jakarta Barat,Kebon Jeruk,Duri Kepa,13,1,2,0,60,80 - 100 ,"10, 11, 12",3,0,0,0,0,60,1,0
Jakarta Barat,Kebon Jeruk,Kelapa Dua,5,1,0,0,120,20 - 30 ,"10, 11, 12",3,0,0,0,0,120,1,0
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,"001, 003, 005",3,4,0,0,15 - 50 ,"10, 11, 12",3,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Kembangan Utara,"003, 004, 005, 006, 010",5,13,1813,5435,30 - 150 ,"9, 10, 11, 12",4,0,0,0,0,143,1,0
Jakarta Barat,Kembangan,Kembangan Selatan,"003, 004, 005, 006, 010",5,16,444,1376,20 - 150 ,"10, 11, 12",3,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Joglo,6,1,4,0,0,0 - 30 ,"10, 11, 12",3,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Pekojan,4,1,0,0,0, 10 - 30,"9, 10, 11, 12",4,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Angke,"001, 002, 003, 004, 005, 006, 007, 011",8,0,0,0,20 - 30 ,"10, 11, 12",3,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Duri Selatan,"001, 002, 003, 005, 006",5,13,0,0,30 - 60 ,"10, 11, 12",4,0,0,0,0,0,0,0
Jakarta Barat,Tambora,Roa Malaka,3,1,4,0,70,30 - 50 ,"10, 11",2,0,0,0,0,70,2,0
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,"001, 002, 003, 004, 005, 007, 008, 009",8,36,0,525,40 - 60 ,"10, 11, 12",3,0,0,0,0,525,7,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,"005, 007, 008",3,15,0,0,20 - 70 ,"10, 11, 12",3,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,"001, 007",2,15,0,100, 10 - 50,"10, 11, 12",3,0,0,0,0,100,2,0
Jakarta Barat,Grogol Petamburan,Grogol,"002, 003, 004, 005, 006, 007, 009, 010",8,83,0,848,20 - 110 ,"10, 11, 12, 13",4,0,0,0,0,848,9,0
Jakarta Barat,Grogol Petamburan,Jelambar,"003, 004, 005, 007",4,12,0,442,30 - 80 ,"10, 11, 12",3,0,0,0,0,442,9,0
Jakarta Barat,Grogol Petamburan,Jelambar Baru,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012",12,114,0,60,15 - 80 ,"10, 11, 12",3,0,0,0,0,60,1,0
Jakarta Barat,Grogol Petamburan,Tomang,"011, 012, 013, 014",4,0,0,188,20 - 100 ,"10, 11, 12",3,0,0,0,0,188,1,0
Jakarta Barat,Palmerah,Jatipulo,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010",10,70,0,0,0 - 70 ,"10, 11, 12",3,0,0,0,0,0,0,0
