kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Cengkareng,Rawa Buaya,  001,1,3,15,50,30 - 50 ,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Grogol Petamburan,Jelambar,  001,1,1,0,0,30,  02,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebon Jeruk,Kedoya Selatan,  005,1,6,0,0,30 - 60 ,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Kembangan,Kembangan Selatan,  009,1,4,112,336,20 - 50 ,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Cilandak Barat,  002,1,1,0,0,20 - 30 ,24,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Lebak Bulus,"004, 008",2,2,831,2493,70 - 100 ,24,1,0,0,0,0,75,1,0
Jakarta Selatan,Cilandak,Pondok Labu,"001, 007, 010",3,6,215,647,70 - 100 ,24,1,0,0,0,0,18,1,0
Jakarta Selatan,Jagakarsa,Jagakarsa,"001, 003, 004",3,2,0,0,15 - 20 ,17,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,"010, 011",2,3,0,0,30 - 100 ,"04, 21, 22",3,0,0,0,0,0,2,0
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,  011,1,2,0,0,  10 - 25 ,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"001, 005, 008",3,9,220,713,30 - 190 ,"04, 22, 24",3,0,0,0,0,16,1,0
Jakarta Selatan,Pasar Minggu,Jati Padang,  008,1,1,0,0,20 - 40 ,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Bintaro,"004, 005, 014",3,4,224,673,20 - 50 ,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,"005, 007",2,4,67,239,50 - 120 ,"22, 23",1,0,0,0,0,60,1,0
Jakarta Selatan,Tebet,Bukit Duri,  013,1,0,0,0,30 - 50 ,  04,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"002, 003",2,2,0,0,20 - 50 ,20,1,0,0,0,0,0,0,0
Jakarta Timur,Cipayung,Bambu Apus,  002,1,2,0,0,20,19,1,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Ciracas,"003, 004, 005, 006, 008, 009",6,15,0,0,20 - 40 ,"17, 18, 19",3,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Kelapa Dua Wetan,"002, 004, 008, 012",4,12,1146,2217,30 - 50 ,19,1,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Rambutan,"002, 003, 005, 006",4,10,200,550,30 - 150 ,"17, 19",2,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Cipinang Melayu,"002, 003, 004, 005",4,12,30,150,20 - 80 ,"17, 19, 20",2,0,0,0,0,14,0,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,  007,1,2,0,0,  10 - 50 ,19,1,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Baru,"001, 002, 006, 007, 010",5,6,0,0,50 - 160 ,"17, 19",2,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Cijantung,"001, 009",2,7,0,0,20 - 70 ,17,1,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Kalisari,"002, 003, 011",3,4,0,0,40 - 100 ,17,2,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Pekayon,  007,1,3,0,0,30 - 50 ,"17, 19",2,0,0,0,0,0,0,0
